timestamp,experiment,dataset_size_mb,original_rows,final_rows,rows_removed,pct_rows_retained,original_columns,final_columns,read_time_sec,transform_time_sec,validation_time_sec,write_time_sec,total_time_sec,throughput_rows_per_sec,validation_passed
2026-05-30T09:19:50.237436,ACN_Caltech_Preprocessing_Local,1024,785600,651358,134242,82.91,17,19,33.042,23.235,165.761,615.18,851.089,923.05,False
2026-05-31T15:28:54.854959,ACN_Caltech_Preprocessing_Local,1024,31424,24690,6734,78.57,15,19,22.906,7.932,31.642,603.571,672.272,46.74,False
